char,label
内,O
分,O
泌,O
疾,O
病,O
管,O
理,O
继,O
续,O
教,O
育,O
"
",O
甲,B-Disease
状,I-Disease
腺,I-Disease
结,I-Disease
节,I-Disease
的,O
临,O
诊,O
应,O
对,O
"
",O
吕,O
庆,O
国,O
 ,O
 ,O
张,O
雨,O
薇,O
 ,O
 ,O
童,O
南,O
伟,O
"
",O
[,O
提,O
要,O
],O
 ,O
 ,O
 ,O
甲,B-Disease
状,I-Disease
腺,I-Disease
结,I-Disease
节,I-Disease
是,O
最,O
常,O
见,O
的,O
内,B-Disease
分,I-Disease
泌,I-Disease
代,I-Disease
谢,I-Disease
疾,I-Disease
病,I-Disease
",",O
多,O
为,O
意,O
外,O
结,B-Disease
节,I-Disease
。,O
 ,O
良,O
恶,O
性,O
的,O
鉴,O
别,O
是,O
甲,B-Disease
状,I-Disease
腺,I-Disease
结,I-Disease
节,I-Disease
诊,O
治,O
"
",O
的,O
关,O
键,O
",",O
除,O
详,O
细,O
采,O
集,O
病,O
史,O
及,O
查,B-Test
体,I-Test
外,O
",",O
高,B-Test
分,I-Test
辨,I-Test
率,I-Test
超,I-Test
声,I-Test
、,O
促,B-Test
甲,I-Test
状,I-Test
腺,I-Test
激,I-Test
素,I-Test
水,I-Test
平,I-Test
测,I-Test
定,I-Test
及,O
细,B-Test
针,I-Test
穿,I-Test
刺,I-Test
活,I-Test
检,I-Test
是,O
甲,B-Disease
状,I-Disease
腺,I-Disease
结,I-Disease
节,I-Disease
"
",O
诊,O
断,O
的,O
基,O
础,O
。,O
 ,O
内,O
分,O
泌,O
医,O
生,O
应,O
掌,O
握,O
甲,B-Test
状,I-Test
腺,I-Test
穿,I-Test
刺,I-Test
活,I-Test
检,I-Test
的,O
适,O
应,O
证,O
",",O
当,O
病,O
理,O
报,O
告,O
无,O
法,O
分,O
辨,O
良,O
恶,O
性,O
时,O
",",O
应,O
选,O
择,O
分,O
子,O
或,O
"
",O
基,O
因,O
诊,O
断,O
进,O
一,O
步,O
明,O
确,O
",",O
根,O
据,O
不,O
同,O
的,O
结,O
果,O
选,O
择,O
合,O
适,O
的,O
治,O
疗,O
方,O
案,O
。,O
 ,O
本,O
文,O
列,O
举,O
 ,O
1,O
 ,O
例,O
典,O
型,O
的,O
甲,B-Disease
状,I-Disease
腺,I-Disease
结,I-Disease
节,I-Disease
最,O
终,O
被,O
诊,O
"
",O
断,O
为,O
甲,B-Disease
状,I-Disease
腺,I-Disease
乳,I-Disease
头,I-Disease
状,I-Disease
癌,I-Disease
并,O
进,O
行,O
手,B-Operation
术,I-Operation
治,I-Operation
疗,I-Operation
的,O
过,O
程,O
",",O
力,O
求,O
使,O
临,O
床,O
医,O
生,O
进,O
一,O
步,O
重,O
视,O
及,O
规,O
范,O
诊,O
治,O
甲,B-Disease
状,I-Disease
腺,I-Disease
结,I-Disease
节,I-Disease
。,O
"
",O
[,O
关,O
键,O
词,O
],O
 ,O
 ,O
 ,O
甲,O
状,O
腺,O
结,O
节,O
;,O
 ,O
鉴,O
别,O
诊,O
断,O
;,O
 ,O
治,O
疗,O
"
",O
A,O
p,O
p,O
r,O
o,O
a,O
c,O
h,O
 ,O
t,O
o,O
 ,O
t,O
h,O
e,O
 ,O
p,O
a,O
t,O
i,O
e,O
n,O
t,O
s,O
 ,O
w,O
i,O
t,O
h,O
 ,O
t,O
h,O
y,O
r,O
o,O
i,O
d,O
 ,O
n,O
o,O
d,O
u,O
l,O
e,O
s,O
 ,O
L,O
y,O
u,O
 ,O
Q,O
i,O
n,O
g,O
g,O
u,O
o,O
",",O
 ,O
Z,O
h,O
a,O
n,O
g,O
 ,O
Y,O
u,O
w,O
e,O
i,O
",",O
 ,O
T,O
o,O
n,O
g,O
 ,O
N,O
a,O
n,O
w,O
e,O
i,O
.,O
 ,O
D,O
i,O
v,O
i,O
s,O
i,O
o,O
n,O
 ,O
o,O
f,O
"
",O
E,O
n,O
d,O
o,O
c,O
r,O
i,O
n,O
o,O
l,O
o,O
g,O
y,O
 ,O
a,O
n,O
d,O
 ,O
M,O
e,O
t,O
a,O
b,O
o,O
l,O
i,O
s,O
m,O
",",O
 ,O
W,O
e,O
s,O
t,O
 ,O
C,O
h,O
i,O
n,O
a,O
 ,O
H,O
o,O
s,O
p,O
i,O
t,O
a,O
l,O
 ,O
o,O
f,O
 ,O
S,O
i,O
c,O
h,O
u,O
a,O
n,O
 ,O
U,O
n,O
i,O
v,O
e,O
r,O
s,O
i,O
t,O
y,O
",",O
 ,O
C,O
h,O
e,O
n,O
g,O
d,O
u,O
 ,O
6,O
1,O
0,O
0,O
4,O
1,O
",",O
 ,O
C,O
h,O
i,O
n,O
a,O
"
",O
[,O
S,O
u,O
m,O
m,O
a,O
r,O
y,O
],O
 ,O
